country,lifeexpectancy,schoolenrollment,GDP
Pre-demographic dividend,60.8209419966658,42.0960083007813,3520.6995556256
Small states,69.5410318025947,71.8439102172852,20578.4414226413
South Asia,69.4122699440301,70.0602569580078,6072.74864524007
South Asia (IDA & IBRD),69.4122699440301,70.0602569580078,6072.74864524007
Sub-Saharan Africa,61.273032490238,43.472469329834,3797.6185105137
Sub-Saharan Africa (excluding high income),61.2719943146726,43.4700889587402,3795.50923230466
Sub-Saharan Africa (IDA & IBRD countries),61.273032490238,43.472469329834,3797.6185105137
Upper middle income,75.7411212818632,91.7559814453125,16883.2614951857
World,72.5686579434521,76.0113296508789,16605.479362784
Afghanistan,64.486,55.4252090454102,2033.80438893717
Albania,78.458,95.4323272705078,13323.7533559132
Algeria,76.693,,11642.1983450506
American Samoa,,,
Andorra,,,
Angola,60.782,,6933.49993413352
Antigua and Barbuda,76.885,111.19603729248,21030.3950717884
Argentina,76.52,107.647277832031,22759.3985583341
Armenia,74.945,83.1506805419922,12715.1089539751
Aruba,76.152,,
Australia,82.7487804878049,132.772888183594,49151.6887104846
Austria,81.6926829268293,99.9578399658203,55297.6182880367
Azerbaijan,72.864,94.4800796508789,14209.6494059309
"Bahamas, The",73.752,,37019.9950489508
Bahrain,77.163,98.5990676879883,46200.445580954
Bangladesh,72.32,72.6905975341797,4440.85547046826
Barbados,79.081,103.703903198242,15674.9043195592
Belarus,74.1756097560976,102.439529418945,18885.2354999668
Belgium,81.5951219512195,155.961074829102,51110.9584679336
Belize,74.496,85.3724594116211,7261.87028738671
Benin,61.47,,3160.7806702321
Bermuda,81.6517073170732,,81422.1346003442
Bhutan,71.46,90.0946807861328,11348.4419521
Bolivia,71.239,89.724250793457,8655.53149780443
Bosnia and Herzegovina,77.262,,14386.7318547663
Botswana,69.275,,17634.6561910867
Brazil,75.672,105.00910949707,14668.2561636292
British Virgin Islands,,,
Brunei Darussalam,75.722,93.482780456543,60389.1846472589
Bulgaria,74.9634146341464,96.8209075927734,22208.4522754771
Burkina Faso,61.174,40.7097282409668,2120.33026783506
Burundi,61.247,48.4650192260742,761.524125241416
Cabo Verde,72.782,88.1551132202148,6864.1852980816
Cambodia,69.57,,4159.33819437034
Cameroon,58.921,,3603.54827506808
Canada,82.0487804878049,114.123512268066,48796.8137814007
Cayman Islands,,77.0390090942383,71784.0480787384
Central African Republic,52.805,,933.10995060419
Chad,53.977,20.2102794647217,1576.32111465904
Channel Islands,82.928,,
Chile,80.042,102.367553710938,25028.9099914542
China,76.704,,15242.9858575834
Colombia,77.109,97.506233215332,14314.8555765268
Comoros,64.118,59.4688606262207,3066.83784677933
"Congo, Dem. Rep.",60.368,,1085.89368770943
"Congo, Rep.",64.29,,3933.425550952
Costa Rica,80.095,132.816925048828,20559.8604252658
Cote d'Ivoire,57.422,51.0266609191895,5033.47882607719
Croatia,78.0707317073171,100.079772949219,27799.8433225132
Cuba,78.726,101.137237548828,
Curacao,,,25054.8952300259
Cyprus,80.828,100.253517150879,39559.4879646749
Czech Republic,79.0292682926829,102.297927856445,39932.992193117
Denmark,80.9536585365854,129.745544433594,56178.7746299825
Djibouti,66.582,51.4577789306641,5214.07218666426
Dominica,,,11537.0190725758
Dominican Republic,73.892,79.9386901855469,17711.7955337583
Ecuador,76.8,101.435653686523,11561.747853143
"Egypt, Arab Rep.",71.825,87.9111404418945,11366.3355206681
El Salvador,73.096,71.6617889404297,8614.01795915499
Equatorial Guinea,58.402,,20386.0138677131
Eritrea,65.941,47.6971092224121,
Estonia,78.2439024390244,116.651741027832,35097.7041021572
Eswatini,59.401,,8520.59238619335
Ethiopia,66.24,,2103.51585836696
Faroe Islands,82.4951219512195,,
Fiji,67.341,,13846.1588353285
