,country,date,total_cases,population,population_density,eiu,infectionrate,SecondarySchoolCompletionRate,GDP,Urbanpop
62,Poland,2021-12-31,4108215.0,37797000.0,124.027,6.62,0.10869156282244623,103.306869506836,33185.1581282308,22793332.0
63,Portugal,2021-12-31,1389646.0,10167923.0,112.371,8.03,0.13666960302512127,93.6031036376953,34945.6615139469,6764658.0
64,Qatar,2021-12-31,250528.0,2930524.0,227.322,3.19,0.08548914801584973,94.8369827270508,89966.4497223279,2809075.0
65,Romania,2021-12-31,1808891.0,19127772.0,85.129,6.49,0.0945688290303753,88.5453262329102,29875.0830235921,10476962.0
66,Rwanda,2021-12-31,111786.0,13276517.0,494.869,3.16,0.008419828784913996,42.4986801147461,2227.51703252759,2186102.0
67,Saudi Arabia,2021-12-31,556236.0,35340680.0,15.322,1.93,0.01573925572456444,105.457580566406,46962.147688222,28807839.0
68,Senegal,2021-12-31,75055.0,17196308.0,82.328,5.81,0.0043645996570891845,37.3810997009277,3361.46154773707,7765705.0
69,Serbia,2021-12-31,1299339.0,6871547.0,80.291,6.41,0.18908973481517335,97.0302734375,18306.7776526064,3907389.0
70,Sierra Leone,2021-12-31,7064.0,8141343.0,104.7,4.86,0.0008676701129039766,72.2191619873047,1705.1914520016,3319363.0
71,Singapore,2021-12-31,279405.0,5453600.0,7915.731,6.02,0.05123313040927094,100.159812927246,98411.5820616053,5703569.0
72,Slovenia,2021-12-31,464048.0,2078723.0,102.619,7.5,0.22323705467250807,96.1799697875977,38946.6853820836,1144894.0
73,South Africa,2021-12-31,3458286.0,60041996.0,46.754,7.24,0.0575977853900793,80.3723297119141,13709.9663747111,39149715.0
74,Spain,2021-12-31,6294745.0,46745211.0,93.105,8.18,0.13466074631687938,97.6436920166016,40803.6269757506,37973121.0
75,Sri Lanka,2021-12-31,587245.0,21497306.0,341.955,6.27,0.027317143831882936,97.9640197753906,13070.1256448919,4052088.0
76,Suriname,2021-12-31,52446.0,591798.0,3.612,6.98,0.08862145529386717,47.4272308349609,19036.7450382918,384252.0
77,Sweden,2021-12-31,1314784.0,10160159.0,24.718,9.39,0.1294058488651605,107.631187438965,52850.5691792533,9015406.0
78,Switzerland,2021-12-31,1332615.0,8715494.0,214.243,9.03,0.15290183207056307,95.6192932128906,70944.3548128194,6332759.0
79,Tanzania,2021-12-31,29306.0,61498438.0,64.699,5.16,0.0004765324283520827,34.2192611694336,2660.42043252302,20011884.0
80,Togo,2021-12-31,30163.0,8478242.0,143.366,3.3,0.0035576950976393454,50.0889701843262,2121.89991847011,3414635.0
81,Turkey,2021-12-31,9482550.0,85042736.0,104.914,4.09,0.11150335050368088,88.7890090942383,28197.2488314389,63097812.0
82,Uruguay,2021-12-31,413383.0,3485152.0,19.751,8.38,0.11861261718283736,94.5867233276367,23032.7340435597,3303391.0
83,Uzbekistan,2021-12-31,198903.0,33935765.0,76.134,2.01,0.005861161520891013,94.7095413208008,7348.14688265697,16935578.0
84,Zimbabwe,2021-12-31,213258.0,15092171.0,42.729,3.16,0.014130372628298473,69.0319213867188,3630.03398530519,4717307.0
