,country,SecondarySchoolCompletionRate,GDP,Urbanpop
30,Middle income,79.2728576660156,11572.3965634724,3053550888.0
31,North America,94.7676620483398,61234.7816693192,301433350.0
32,OECD members,94.1365585327148,44697.0492515502,1102880496.0
33,Other small states,66.9601516723633,22694.7127006786,19631283.0
34,Pacific island small states,83.2900314331055,7339.19526152278,971682.0
35,Post-demographic dividend,95.8054809570313,49191.9365040636,906540165.0
36,Pre-demographic dividend,42.9898300170898,3561.94562492393,394746859.0
37,Small states,70.4232864379883,20561.7471446717,24405056.0
38,South Asia,78.9222030639648,6243.95086533466,632092773.0
39,South Asia (IDA & IBRD),78.9222030639648,6243.95086533466,632092773.0
40,Sub-Saharan Africa,43.7131996154785,3886.45075631171,450673306.0
41,Sub-Saharan Africa (excluding high income),43.7095909118652,3884.36259770571,450617544.0
42,Sub-Saharan Africa (IDA & IBRD countries),43.7131996154785,3886.45075631171,450673306.0
43,Upper middle income,87.1574096679688,17393.3458005968,1675384608.0
44,World,76.2830963134766,16893.50526559,4280190216.0
45,Afghanistan,58.305850982666,2065.03623501599,9797274.0
46,Albania,92.8239898681641,13656.5999245894,1747593.0
47,Algeria,82.9214477539063,11521.9842097494,31510100.0
48,Argentina,93.5391998291016,22066.1010083881,41339571.0
49,Armenia,92.1980514526367,13653.7633812861,1869846.0
50,Austria,97.6454696655273,55833.559903835,5196085.0
51,Bahrain,93.4541168212891,45311.8641175216,1467102.0
52,Belgium,92.5289306640625,51944.1670288861,11263911.0
53,Belize,69.5970687866211,7251.88610343325,179038.0
54,Bhutan,84.9810028076172,11864.7662468492,317539.0
55,Bolivia,85.8481369018555,8724.47418606476,8033037.0
56,Brunei Darussalam,107.147361755371,62098.011379516,337720.0
57,Burkina Faso,41.3698501586914,2175.50467955719,6092351.0
58,Burundi,29.7798690795898,751.664152760383,1541177.0
59,Cabo Verde,71.273551940918,7171.8264247567,364030.0
60,Cambodia,57.7426109313965,4388.80090863251,3924621.0
61,Chile,94.3004989624023,24967.5802124165,16610132.0
62,Colombia,78.1262283325195,14585.3024908488,40827302.0
63,Costa Rica,73.9882125854492,20937.5382348599,4041885.0
64,Cote d'Ivoire,52.584400177002,5212.5540214586,13176905.0
65,Croatia,100.980056762695,29336.0870271692,2327032.0
66,Cyprus,98.0986099243164,40226.8094909879,800707.0
67,Czech Republic,91.9678497314453,40981.0565086432,7888753.0
68,Denmark,103.61701965332,57161.6863893418,5116342.0
69,Djibouti,49.9365310668945,5534.76617152744,758547.0
70,Dominican Republic,83.6265335083008,18412.8999875519,8787474.0
71,Ecuador,96.0242004394531,11370.603299072,11116708.0
72,"Egypt, Arab Rep.",88.4178314208984,11763.2532849551,42895825.0
73,Estonia,100.912353515625,36399.9292208916,916236.0
74,Eswatini,69.7583389282227,8652.92271657383,275334.0
75,Finland,101.246719360352,48641.6240784137,4717991.0
76,France,99.4556884765625,46017.7659610004,54275936.0
77,Gabon,59.2679100036621,14945.8592935603,1949693.0
78,"Gambia, The",56.0123405456543,2224.90984166364,1453952.0
79,Georgia,113.869277954102,14989.2581602038,2196346.0
80,Ghana,78.1767807006836,5540.04562697865,17249055.0
81,Greece,93.9455184936523,29698.0304753909,8511650.0
82,Guatemala,56.3729782104492,8653.30819508205,8540945.0
83,Honduras,43.6043701171875,5736.18163330613,5626432.0
84,"Hong Kong SAR, China",105.701011657715,59586.2040065092,7507400.0
85,Hungary,93.7355804443359,32553.6944730337,7000436.0
86,Iceland,101.039451599121,56935.7727270827,338406.0
87,India,83.2234115600586,6713.93221110725,471031529.0
88,Ireland,101.174850463867,86650.0046591322,3128618.0
89,Israel,103.218078613281,40626.2152725349,8375041.0
90,Italy,97.5391082763672,42708.0344529972,42249963.0
91,Jamaica,84.0585479736328,9777.00568620683,1650593.0
92,Jordan,64.3248519897461,10071.379888314,9213051.0
93,Kazakhstan,117.914016723633,26351.8044418782,10652767.0
94,"Korea, Rep.",96.7046585083008,42804.6689076257,42106719.0
95,Kuwait,92.4291915893555,49853.7363427288,4207077.0
96,Kyrgyz Republic,98.0291290283203,5258.36669631142,2362388.0
97,Lao PDR,65.2140884399414,7886.65281419668,2555553.0
98,Latvia,96.8945388793945,31012.135102478,1305648.0
